Symbol,Company
O5RU.SI,AIMS APAC REIT
XZL.SI,ARA US Hospitality Trust (USD)
BMGU.SI,BHG Retail REIT
A17U.SI,CapitaLand Ascendas REIT
HMN.SI,CapitaLand Ascott Trust
AU8U.SI,CapitaLand China Trust
CY6U.SI,CaptaLand India Trust
C38U.SI,CapitaLand Integrated Commercial Trust
J85.SI,CDL Hospitality Trust
CWBU.SI,Cromwell European REIT (EUR)
DHLU.SI,Daiwa House Logistics Trust
CEDU.SI,Dasin Retail Trust
DCRU.SI,Digital Core REIT (USD)
BWCU.SI,EC World REIT
MXNU.SI,Elite Commercial REIT (GBP)
J91U.SI,ESR-LOGOS REIT
Q5T.SI,Far East Hospitality Trust
AW9U.SI,First REIT
J69U.SI,Frasers Centrepoint Trust
ACV.SI,Frasers Hospitality Trust
BUOU.SI,Frasers Logistics & Commercial Trust
UD1U.SI,IREIT Global
AJBU.SI,Keppel DC REIT
CMOU.SI,Keppel Pacific Oak US REIT (USD)
K71U.SI,Keppel REIT
JYEU.SI,Lendlease Global Commercial REIT
D5IU.SI,Lippo Malls Indonesia Retail Trust
BTOU.SI,Manulife US REIT (USD)
ME8U.SI,Mapletree Industrial Trust
M44U.SI,Mapletree Logistics Trust
N2IU.SI,Mapletree Pan Asia Commercial Trust
TS0U.SI,OUE Commercial REIT
SK6U.SI,Paragon REIT
C2PU.SI,Parkway Life REIT
OXMU.SI,Prime US REIT (USD)
M1GU.SI,Sabana Industrial REIT
CRPU.SI,Sasseur REIT
P40U.SI,Starhill Global REIT
T82U.SI,Suntec REIT
ODBU.SI,United Hampshire US REIT (USD)
