Symbol,Company
A17U.SI,Ascendas Real Estate Investment Trust
C38U.SI,CapitaLand Integrated Commercial Trust
9CI.SI,CapitaLand Investment
C09.SI,City Developments Limited
C52.SI,ComfortDelGro Corporation
D01.SI,Dairy Farm International Holdings
D05.SI,DBS Group Holdings
BUOU.SI,Frasers Logistics & Commercial Trust
G13.SI,Genting Singapore PLC
H78.SI,Hongkong Land Holdings
C07.SI,Jardine Cycle & Carriage
J36.SI,Jardine Matheson Holdings Limited
BN4.SI,Keppel Corporation
AJBU.SI,Keppel DC Reit
N2IU.SI,Mapletree Commercial Trust
ME8U.SI,Mapletree Industrial Trust
M44U.SI,Mapletree Logistics Trust
O39.SI,Oversea-Chinese Banking Corp
S58.SI,SATS
U96.SI,Sembcorp Industries
C6L.SI,Singapore Airlines
Z74.SI,Singtel
S68.SI,Singapore Exchange
S63.SI,Singapore Technologies Engineering
Y92.SI,Thai Beverages
U11.SI,United Overseas Bank
U14.SI,UOL Group
V03.SI,Venture Corporation
F34.SI,Wilmar International
BS6.SI,Yangzijiang Shipbuilding Holdings [zh]
