town,lat,lon
PASIR RIS,1.3730307,1.3730307
GEYLANG,1.3181862,1.3181862
BEDOK,1.3239765,1.3239765
SERANGOON,1.3497610500000001,1.3497610500000001
SEMBAWANG,1.4490928,1.4490928
MARINE PARADE,1.3026889,1.3026889
KALLANG/WHAMPOA,1.329832,1.329832
CENTRAL AREA,36.5070827,36.5070827
HOUGANG,1.3708011,1.3708011
YISHUN,1.4293839,1.4293839
WOODLANDS,54.3558467,54.3558467
JURONG WEST,1.3434392,1.3434392
BUKIT BATOK,1.3490572,1.3490572
QUEENSTOWN,-45.0321923,-45.0321923
CLEMENTI,1.3168251,1.3168251
BUKIT PANJANG,1.3791486,1.3791486
BUKIT TIMAH,1.3546901,1.3546901
PUNGGOL,1.4051559,1.4051559
ANG MO KIO,1.3692077999999999,1.3692077999999999
TAMPINES,1.3546528,1.3546528
JURONG EAST,1.333108,1.333108
BISHAN,1.3509859,1.3509859
SENGKANG,1.3919236499999998,1.3919236499999998
BUKIT MERAH,4.5523732,4.5523732
CHOA CHU KANG,1.3847493,1.3847493
TOA PAYOH,1.3353906,1.3353906
